20230410	22:37:37	8a51968c-7898-495d-8c52-2932b74cc605	GET	undefined	/jar
20230410	22:37:37	86f4b733-ecd6-4d77-99e5-7e0e07c9ebca	GET	undefined	/css/style.css
20230410	22:40:24	476dc637-de61-4606-bd85-8cfd3d8ce4e6	GET	undefined	/jar
20230410	22:40:24	e3ffbb3d-4f47-4eef-998d-1b1c7f62dde4	GET	undefined	/css/style.css
20230410	22:41:39	ee096c84-e6d1-45ec-ae02-edb238ad2967	GET	undefined	/
20230410	22:41:40	7e17a590-f529-4ca7-b222-472cba035636	GET	undefined	/css/style.css
20230410	22:49:39	d283b32d-9be2-4313-93bf-a6fe88257a22	GET	undefined	/
20230410	22:49:39	10050533-1342-437d-bff1-c65d9fb9dc2c	GET	undefined	/css/style.css
20230410	22:49:57	09c3a437-507b-4a63-bfae-18e12fe89acf	GET	undefined	/subdir
20230410	22:50:08	52b87e5a-a290-474d-98ae-4cba13d46790	GET	undefined	/subdir/test
20230410	22:50:20	99e91ff4-f0ce-4bca-b26b-925bbd7c8a6c	GET	undefined	/subdir/testing
20230410	22:50:20	2150020b-88ad-4e3f-aeaa-4fef5659b8a7	GET	undefined	/subdir/css/style.css
20230410	22:51:55	6e412b3d-2988-44f0-9309-f306fbd67ffa	GET	undefined	/subdir/testing
20230410	22:51:55	80f8c996-0ef0-440e-8639-67cd60ffdaf8	GET	undefined	/subdir/css/style.css
20230410	22:52:10	251924d4-7234-4aed-8723-6e0bfc589edf	GET	undefined	/subdir/test
20230410	22:52:14	d1a1b4da-378f-466b-b6be-083d9049783c	GET	undefined	/subdir/testsd
20230410	22:52:14	0c8350e1-7702-403b-9f82-98a85b379dcd	GET	undefined	/subdir/css/style.css
20230410	23:01:40	ceaed3fa-b1f2-4fdb-973a-3f7a776e86dc	GET	undefined	/subdir/testsd
20230410	23:01:40	1a67790a-a114-4fbb-a5df-cdd43ed53fa5	GET	undefined	/subdir/css/style.css
20230410	23:01:47	680c1e67-3204-4b7b-a00d-a007bb46799e	GET	undefined	/
20230410	23:01:47	ae9187b9-5781-41a0-8bd9-ef839505cfd9	GET	undefined	/css/style.css
20230410	23:01:55	56ab5208-f898-478a-b9ca-6990dfe99f3e	GET	undefined	/new-page
20230410	23:01:55	144e740b-01dd-4a9e-a77b-eda76693e178	GET	undefined	/css/style.css
20230410	23:01:55	0ad2a517-64ab-48b5-afb6-3dcdc0b0f587	GET	undefined	/img/img1.jpg
20230410	23:02:08	e1b0ad75-9182-4d76-858f-3608e1a4ea45	GET	undefined	/old-page
20230410	23:02:08	9861df79-c1bc-4591-88f6-596b37204eb4	GET	undefined	/new-page.html
20230410	23:02:08	a36d2a8d-4b74-45a6-9ab4-679e68497402	GET	undefined	/css/style.css
20230410	23:02:08	5e83c547-a29c-4d36-9603-0512dbe0c8ec	GET	undefined	/img/img1.jpg
20230410	23:02:18	b0621325-a701-43ec-9a63-fd052597b78b	GET	undefined	/index
20230410	23:02:18	e934adc3-49f1-4ebd-beb2-a69dd721171f	GET	undefined	/css/style.css
20230415	23:39:19	d0352278-139c-4b56-b3da-db8a095f1a34	GET	undefined	/employees
20230415	23:43:23	0d05313c-8178-4a1e-9b24-06fbc0d227b4	POST	undefined	/employees
20230415	23:44:07	b48b76ef-d6ad-4c48-98a8-488d206c760d	POST	undefined	/employees
20230415	23:49:37	96fda58a-d60d-4807-9321-022f541d33ab	GET	undefined	/employees
20230415	23:50:10	b61ab546-e2b3-4fa3-b11b-705c3d4dd02a	POST	undefined	/employees
20230415	23:51:59	8fd750e3-7fd1-49cc-8f06-eae83d86bd69	POST	undefined	/employees
20230415	23:55:14	71adc4b0-82c6-483d-a5e1-28b9916d1c4d	PUT	undefined	/employees
20230416	00:26:12	54994f64-8044-41d8-a364-c197e25971b3	DELETE	undefined	/employees
20230416	00:27:54	a3a64c55-9adf-4fe1-94c3-ff4d48d4e9de	GET	undefined	/employees/1
20230416	01:19:19	787134aa-c329-46e7-a331-05c387eb6acf	GET	undefined	/employees
20230416	01:19:30	a35a2538-3ba0-470a-a183-39713e31f3b2	POST	undefined	/employees
20230416	01:19:54	06597860-4d4e-437e-a8f5-9abfbc9c2213	PUT	undefined	/employees
20230416	01:20:33	84e6e651-cc65-48b6-aecf-eb2ab30df19d	DELETE	undefined	/employees
20230416	01:20:47	5991dbef-738a-40d9-ab33-eab2f832aa90	GET	undefined	/employees/1
20230421	19:19:16	f14e472c-c891-4cae-88bb-c939f59d47c3	GET	undefined	/register
20230421	19:23:12	224d9e17-5e8a-42e9-beeb-79f169940fa1	GET	undefined	/register
20230421	19:42:44	e2f08023-7cbe-41e0-a120-1bb4ec7bf604	GET	undefined	/register
20230421	20:08:55	fddc9f2b-6a39-46d0-9ca8-1a8eccfbe325	POST	undefined	/register
